7111,Jansons Institute of Technology,7111,principal,Y
7112,Jay Shriram Group of Institutions ,7112,principal,Y
7113,KPR Institute of Engineering and Technology,7113,principal,Y
7114,KPR School of Business,7114,principal,Y
7115,Kalaignar Karunanidhi Institute of Technology,7115,principal,Y
7116,Kathir College of Engineering,7116,principal,Y
7117,KGISL Institute of Technology,7117,principal,Y
7118,KTVR Knowledge Park for Engineering and Technology,7118,principal,Y
7119,KV Institute of Management and Information Studies,7119,principal,Y
7120,Maharaja Institute of Technology,7120,principal,Y
7121,Mcgan's Ooty School of Architecture,7121,principal,Y
7122,Park College of Engineering and Technology,7122,principal,Y
7123,Park College of Technology,7123,principal,Y
7124,PPG Business School,7124,principal,Y
7125,PPG Institute of Technology,7125,principal,Y
7126,Prahar School of Architecture,7126,principal,Y
7127,Professional Educational Trust's Group of Institutions,7127,principal,Y
7128,RVS College of Engineering and Technology,7128,principal,Y
7129,"RVS Educational Trust's Group of Institutions, Coimbatore",7129,principal,Y
7130,Ranganathan Architecture College,7130,principal,Y
7131,Ranganathan Engineering College,7131,principal,Y
7132,RVS Institute Of Management Studies,7132,principal,Y
7133,SNS College of Engineering,7133,principal,Y
7134,Sasurie Academy of Engineering,7134,principal,Y
7135,SNS College of Technology,7135,principal,Y
7136,Sree Sakthi Engineering College,7136,principal,Y
7137,Sri Krishna Institute of Management,7137,principal,Y
7138,Sri Ramakrishna Institute of Technology,7138,principal,Y
7139,Sri Ranganathar Institute of Engineering and Technology,7139,principal,Y
7140,Sri Shakthi Institute of Engineering  and Technology,7140,principal,Y
7141,Sriguru Institute of Technology,7141,principal,Y
7142,TamilNadu College of Engineering,7142,principal,Y
7143,TamilNadu School of Architecture,7143,principal,Y
7144,Tejaa Shakthi Institute of Technology for Women,7144,principal,Y
7145,United Institute of Technology,7145,principal,Y
7146,RVS College Of Computer Application,7146,principal,Y
7147,R.V.S School of Architecture,7147,principal,Y
7201,A.S.L.Pauls College of Engineering and Technology,7201,principal,Y
7202,AJK Institute of Management,7202,principal,Y
7203,Akshaya College of Engineering and Technology,7203,principal,Y
7204,CMS College of Engineering and Technology,7204,principal,Y
7205,Easa College of Engineering and Technology,7205,principal,Y
7206,Happy Valley Business School,7206,principal,Y
7207,Hindustan College of Engineering and Technology,7207,principal,Y
7208,Hindustan Institute of Technology,7208,principal,Y
7209,JCT College of Engineering and Technology,7209,principal,Y
